trial,struct,time,l,un,order,baserate,mag,session,subject,block
45,1,2,17,-27,2,1,20,S,1,3
46,1,1,72,77,2,3,80,S,1,3
46,1,2,93,27,1,3,80,S,1,3
47,2,1,70,69,2,1,100,S,1,3
47,2,2,-100,84,1,1,100,S,1,3
48,1,1,-46,-41,1,3,20,S,1,3
48,1,2,-61,-72,2,3,20,S,1,3
49,2,1,42,40,1,3,60,S,1,3
49,2,2,-100,73,1,3,60,S,1,3
50,2,1,56,61,2,3,80,S,1,3
50,2,2,-100,96,1,3,80,S,1,3
51,1,1,44,44,2,3,40,S,1,3
51,1,2,67,-68,2,3,40,S,1,3
52,2,1,40,45,2,1,60,S,1,3
52,2,2,-97,49,1,1,60,S,1,3
53,2,1,47,48,2,3,100,S,1,3
53,2,2,-88,83,2,3,100,S,1,3
54,0,1,-100,-100,1,1,0,S,1,3
54,0,2,-100,-100,1,1,0,S,1,3
55,2,1,36,37,1,1,40,S,1,3
55,2,2,-100,69,1,1,40,S,1,3
56,1,1,53,62,1,3,100,S,1,3
56,1,2,80,-54,2,3,100,S,1,3
57,1,1,43,42,1,1,80,S,1,3
57,1,2,50,-56,2,1,80,S,1,3
58,1,1,59,43,2,1,60,S,1,3
58,1,2,72,-66,1,1,60,S,1,3
59,2,1,0,0,1,1,20,S,1,3
59,2,2,-100,0,1,1,20,S,1,3
60,2,1,0,0,2,3,20,S,1,3
60,2,2,8,-100,2,3,20,S,1,3
61,1,1,39,36,2,3,60,S,1,3
61,1,2,51,-34,1,3,60,S,1,3
62,1,1,64,59,2,1,100,S,1,3
62,1,2,71,-69,2,1,100,S,1,3
63,1,1,32,33,1,1,40,S,1,3
63,1,2,55,-32,1,1,40,S,1,3
64,2,1,37,29,1,3,40,S,1,3
64,2,2,-100,55,1,3,40,S,1,3
65,0,1,-100,-100,1,3,0,S,1,3
65,0,2,-100,-100,1,3,0,S,1,3
66,2,1,32,31,2,1,80,S,1,3
66,2,2,-100,52,2,1,80,S,1,3
67,2,1,41,41,2,1,100,S,1,4
67,2,2,-98,57,1,1,100,S,1,4
68,2,1,21,17,1,3,20,S,1,4
68,2,2,-100,19,2,3,20,S,1,4
69,1,1,57,50,2,1,80,S,1,4
69,1,2,89,-76,1,1,80,S,1,4
70,2,1,54,46,1,1,80,S,1,4
70,2,2,-93,67,2,1,80,S,1,4
71,0,1,-100,-100,1,1,0,S,1,4
71,0,2,-100,-100,2,1,0,S,1,4
72,1,1,34,25,2,3,40,S,1,4
72,1,2,36,-27,1,3,40,S,1,4
73,2,1,22,22,2,1,20,S,1,4
73,2,2,-100,36,1,1,20,S,1,4
74,2,1,67,66,2,3,80,S,1,4
74,2,2,-100,51,1,3,80,S,1,4
75,1,1,64,56,2,1,60,S,1,4
75,1,2,78,-83,1,1,60,S,1,4
76,1,1,56,53,2,3,80,S,1,4
76,1,2,79,-55,2,3,80,S,1,4
77,1,1,60,64,2,1,100,S,1,4
